fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.5356371402740479,1.0,0.4444444444444445,0.7304384708404541, 0.04402510325113932
0,1,0.5299579501152039,1.0,0.4444444444444445,0.7306233644485474, 0.012701737880706786
0,2,0.527457594871521,1.0,1.0,0.3924473524093628, 0.012123278776804606
1,0,0.6944124698638916,1.0,0.11111111111111112,0.8711718320846558, 0.013675947984059652
1,1,0.668450653553009,1.0,0.11111111111111112,0.8709732294082642, 0.012845051288604737
1,2,0.6572810411453247,1.0,0.11111111111111112,0.8710541725158691, 0.01259927749633789
2,0,0.6828575134277344,1.0,0.6666666666666666,0.6797730922698975, 0.013121585051218668
2,1,0.6962800025939941,1.0,0.6666666666666666,0.6802778244018555, 0.012055401007334392
2,2,0.7466156482696533,1.0,0.6666666666666666,0.6797000765800476, 0.01294192870457967
3,0,0.6495312452316284,1.0,0.22222222222222224,0.7435317039489746, 0.01252122720082601
3,1,0.616246223449707,1.0,0.22222222222222224,0.7434651255607605, 0.012488301595052083
3,2,0.6119551658630371,1.0,0.22222222222222224,0.7437480688095093, 0.013196349143981934
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
