fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
fold,epoch,val_loss,val_auc,tr_auc, train_loss, time
0,0,0.12096966737263588,0.9479740436353836,0.7811635248731155,0.3332658269645355, 1.427419332663218
0,1,0.10304588021244854,0.9779791587141655,0.8574697982641332,0.2714137172066689, 1.4410293380419412
0,2,0.0955226915931253,0.9786800279178691,0.8773788615171774,0.257673051056205, 1.4557174682617187
0,3,0.09023104191577176,0.9817354369750506,0.8803556809185273,0.2468876061219798, 1.4596893350283304
0,4,0.09118810441221434,0.9817630880748226,0.8917766202778132,0.24177329339163037, 1.4463125785191855
0,5,0.09040137118783456,0.9807252351430041,0.8817358384380397,0.24896746962869756, 1.4695887247721353
0,6,0.09274700368108342,0.978639787699502,0.8844440318251124,0.24207163746088592, 1.4543537576993306
0,7,0.09330094926895535,0.9814846662287451,0.8875522757594417,0.239253914609336, 1.4489676435788472
0,8,0.08822701772323296,0.9824680037809319,0.8909843370145862,0.2344825358532344, 1.4481029748916625
0,9,0.08740743008271164,0.9824592363590531,0.9036005590519908,0.23315760441960728, 1.4445958415667215
